name,iso639_3,iso639_1,bcp47,commonlid,commonvoicelid
Bankon,abb,,abb,False,True
Abkhazian,abk,ab,ab,False,True
Acehnese,ace,,ace,True,False
Saint Lucian Creole French,acf,,acf,True,False
Adyghe,ady,,ady,False,True
Tunisian Arabic,aeb,,aeb,True,False
Afrikaans,afr,af,af,True,True
Aja (Benin),ajg,,ajg,False,True
Gheg Albanian,aln,,aln,False,True
Amharic,amh,am,am,True,True
Sudanese Arabic,apd,,apd,True,False
Arabic,ara,ar,ar,True,True
Standard Arabic,arb,,arb,True,False
Aragonese,arg,an,an,True,True
Najdi Arabic,ars,,ars,True,False
Moroccan Arabic,ary,,ary,True,False
Egyptian Arabic,arz,,arz,True,False
Assamese,asm,as,as,True,True
Asturian,ast,,ast,False,True
Azerbaijani,aze,az,az,True,True
North Azerbaijani,azj,,azj,True,False
Tuki,bag,,bag,False,True
Bashkir,bak,ba,ba,True,True
Basaa,bas,,bas,False,True
Bamun,bax,,bax,False,True
Baatonum,bba,,bba,False,True
Ghomala,bbj,,bbj,False,True
Bats,bbl,,bbl,False,True
Bamenyam,bce,,bce,False,True
Baoulé,bci,,bci,False,True
Central Bikol,bcl,,bcl,True,False
Bebele,beb,,beb,False,True
Belarusian,bel,be,be,False,True
Bangla,ben,bn,bn,True,True
Betawi,bew,,bew,False,True
Bafut,bfd,,bfd,False,True
Balti,bft,,bft,False,True
Eastern Balochi,bgp,,bgp,False,True
Bikol,bik,,bik,True,False
Bakoko,bkh,,bkh,False,True
Kom,bkm,,bkm,False,True
Batanga,bnm,,bnm,False,True
Bunun,bnn,,bnn,False,True
Breton,bre,br,br,True,True
Brahui,brh,,brh,False,True
Mokpwe,bri,,bri,False,True
Kati,bsh,,bsh,False,True
Burushaski,bsk,,bsk,False,True
Bateri,btv,,btv,False,True
Bulgarian,bul,bg,bg,True,True
Bulu,bum,,bum,False,True
Bukusu,bxk,,bxk,False,True
Medumba,byv,,byv,False,True
Catalan,cat,ca,ca,True,True
Czech,ces,cs,cs,True,True
Chiga,cgg,,cgg,False,True
Chuvash,chv,cv,cv,False,True
Chokwe,cjk,,cjk,False,True
Central Kurdish,ckb,,ckb,False,True
Mandarin Chinese,cmn,,cmn,True,False
Hakha Chin,cnh,,cnh,False,True
Cornish,cor,kw,kw,False,True
South Ucayali Ashéninka,cpy,,cpy,False,True
Crimean Tatar,crh,,crh,True,False
Teutila Cuicatec,cut,,cut,False,True
Tepeuxila Cuicatec,cux,,cux,False,True
Welsh,cym,cy,cy,False,True
Dagbani,dag,,dag,False,True
Danish,dan,da,da,False,True
Dargwa,dar,,dar,False,True
Taita,dav,,dav,False,True
German,deu,de,de,True,True
Divehi,div,dv,dv,False,True
Domaaki,dmk,,dmk,False,True
Dameli,dml,,dml,False,True
Rukai,dru,,dru,False,True
Duala,dua,,dua,False,True
Dyula,dyu,,dyu,False,True
Ebrié,ebr,,ebr,False,True
Koti,eko,,eko,False,True
Greek,ell,el,el,True,True
English,eng,en,en,True,True
Esperanto,epo,eo,eo,False,True
Estonian,est,et,et,True,True
Central Yupik,esu,,esu,False,True
Eton (Cameroon),eto,,eto,False,True
Basque,eus,eu,eu,False,True
Ewondo,ewo,,ewo,False,True
Extremaduran,ext,,ext,True,False
Fang,fan,,fan,False,True
Persian,fas,fa,fa,True,True
Filipino,fil,,fil,True,False
Finnish,fin,fi,fi,True,True
Fe'fe',fmp,,fmp,False,True
French,fra,fr,fr,True,True
Old French,fro,,fro,True,False
Western Frisian,fry,fy,fy,True,True
Adamawa Fulfulde,fub,,fub,False,True
Borgu Fulfulde,fue,,fue,False,True
Nigerian Fulfulde,fuv,,fuv,True,False
West Central Oromo,gaz,,gaz,True,False
Guadeloupean Creole French,gcf,,gcf,True,False
Guianese Creole French,gcr,,gcr,True,False
Gen,gej,,gej,False,True
Gurgula,ggg,,ggg,False,True
Gidar,gid,,gid,False,True
Goaria,gig,,gig,False,True
South Giziga,giz,,giz,False,True
Kachi Koli,gjk,,gjk,False,True
Gujari,gju,,gju,False,True
Scottish Gaelic,gla,gd,gd,True,False
Irish,gle,ga,ga,True,True
Galician,glg,gl,gl,False,True
Manx,glv,gv,gv,False,True
Goan Konkani,gom,,gom,True,False
Ancient Greek,grc,,grc,True,False
Guarani,grn,gn,gn,False,True
Paraguayan Guaraní,gug,,gug,True,False
Gujarati,guj,gu,gu,True,False
Gun,guw,,guw,True,False
Gawri,gwc,,gwc,False,True
Gawar-Bati,gwt,,gwt,False,True
Northwest Gbaya,gya,,gya,False,True
Haitian Creole,hat,ht,ht,False,True
Hausa,hau,ha,ha,True,True
Hazaragi,haz,,haz,False,True
Ancient Hebrew,hbo,,hbo,True,False
Huichol,hch,,hch,False,True
Hebrew,heb,he,he,True,True
Hemba,hem,,hem,False,True
Hindi,hin,hi,hi,True,True
Northern Hindko,hno,,hno,False,True
Upper Sorbian,hsb,,hsb,False,True
Hungarian,hun,hu,hu,False,True
Nüpode Huitoto,hux,,hux,False,True
Armenian,hye,hy,hy,False,True
Ibibio,ibb,,ibb,False,True
Igbo,ibo,ig,ig,True,True
Interlingua,ina,ia,ia,False,True
Indonesian,ind,id,id,True,True
Inupiaq,ipk,ik,ik,False,True
Icelandic,isl,is,is,False,True
Italian,ita,it,it,True,True
Javanese,jav,jv,jv,True,False
Ngomba,jgo,,jgo,False,True
Japanese,jpn,ja,ja,True,True
Jaqaru,jqr,,jqr,False,True
Kabyle,kab,,kab,True,True
Kannada,kan,kn,kn,True,False
Georgian,kat,ka,ka,False,True
Kazakh,kaz,kk,kk,False,True
Kabardian,kbd,,kbd,False,True
Nubi,kcn,,kcn,False,True
Tem,kdh,,kdh,False,True
Khowar,khw,,khw,False,True
Kikuyu,kik,ki,ki,True,False
Kinyarwanda,kin,rw,rw,False,True
Kyrgyz,kir,ky,ky,False,True
Kalenjin,kln,,kln,False,True
Kalasha,kls,,kls,False,True
Northern Kurdish,kmr,,kmr,False,True
Konzo,koo,,koo,False,True
Korean,kor,ko,ko,True,True
Bafia,ksf,,ksf,False,True
Parkari Koli,kvx,,kvx,False,True
Wadiyara Koli,kxp,,kxp,False,True
Lao,lao,lo,lo,False,True
Latin,lat,la,la,True,False
Latvian,lav,lv,lv,True,True
Lendu,led,,led,False,True
Ligurian,lij,,lij,True,True
Lingala,lin,ln,ln,True,False
Lithuanian,lit,lt,lt,False,True
Kenyi,lke,,lke,False,True
Loarki,lrk,,lrk,False,True
Lasi,lss,,lss,False,True
Latgalian,ltg,,ltg,True,True
Thur,lth,,lth,False,True
Luba-Lulua,lua,,lua,False,True
Ganda,lug,lg,lg,True,True
Luo (Kenya and Tanzania),luo,,luo,False,True
Standard Latvian,lvs,,lvs,True,False
Malayalam,mal,ml,ml,True,True
Marathi,mar,mr,mr,True,True
Huautla Mazatec,mau,,mau,False,True
Mbo (Cameroon),mbo,,mbo,False,True
Matsés,mcf,,mcf,False,True
Masana,mcn,,mcn,False,True
Mpiemo,mcx,,mcx,False,True
Mbum,mdd,,mdd,False,True
Moksha,mdf,,mdf,False,True
Southwestern Tlaxiaco Mixtec,meh,,meh,False,True
Mpumpong,mgg,,mgg,False,True
Mungaka,mhk,,mhk,False,True
Eastern Mari,mhr,,mhr,False,True
Macedonian,mkd,mk,mk,False,True
Dhatki,mki,,mki,False,True
Malagasy,mlg,mg,mg,True,False
Maltese,mlt,mt,mt,False,True
Michoacán Mazahua,mmc,,mmc,False,True
Mongolian,mon,mn,mn,False,True
Western Mari,mrj,,mrj,False,True
Malay,msa,ms,ms,True,True
Musey,mse,,mse,False,True
Mundang,mua,,mua,False,True
Musgu,mug,,mug,False,True
Marwari (Pakistan),mve,,mve,False,True
Indus Kohistani,mvy,,mvy,False,True
Mada (Cameroon),mxu,,mxu,False,True
Erzya,myv,,myv,False,True
Min Nan Chinese,nan,,nan,False,True
South Ndebele,nbl,nr,nr,False,True
Central Puebla Nahuatl,ncx,,ncx,False,True
Nepali,nep,ne,ne,False,True
Zacatlán-Ahuacatlán-Tepetzintla Nahuatl,nhi,,nhi,False,True
Ngombale,nla,,nla,False,True
Dutch,nld,nl,nl,True,True
Orizaba Nahuatl,nlv,,nlv,False,True
Kwasio,nmg,,nmg,False,True
Nawdm,nmz,,nmz,False,True
Ngiemboon,nnh,,nnh,False,True
Norwegian Nynorsk,nno,nn,nn,False,True
Norwegian Bokmål,nob,nb,nb,False,True
Northern Sotho,nso,,nso,True,True
Nyankole,nyn,,nyn,True,False
Nyungwe,nyu,,nyu,False,True
Occitan,oci,oc,oc,True,True
Od,odk,,odk,False,True
Odia,ori,or,or,False,True
Oromo,orm,om,om,True,False
Ormuri,oru,,oru,False,True
Odia (individual language),ory,,ory,True,False
Ossetic,oss,os,os,False,True
Punjabi,pan,pa,pa,True,True
Nigerian Pidgin,pcm,,pcm,True,True
Phalura,phl,,phl,False,True
Pahari-Potwari,phr,,phr,False,True
Kohistani Shina,plk,,plk,False,True
Western Penan,pne,,pne,False,True
Polish,pol,pl,pl,True,True
Portuguese,por,pt,pt,True,True
Ashéninka Perené,prq,,prq,False,True
Western Highland Purepecha,pua,,pua,False,True
Pashto,pus,ps,ps,False,True
Paiwan,pwn,,pwn,False,True
Southern Pastaza Quechua,qup,,qup,False,True
Yanahuanca Pasco Quechua,qur,,qur,False,True
Santiago del Estero Quichua,qus,,qus,False,True
Yauyos Quechua,qux,,qux,False,True
Ayacucho Quechua,quy,,quy,False,True
Ambo-Pasco Quechua,qva,,qva,False,True
Imbabura Highland Quichua,qvi,,qvi,False,True
Loja Highland Quichua,qvj,,qvj,False,True
Cajatambo North Lima Quechua,qvl,,qvl,False,True
Corongo Ancash Quechua,qwa,,qwa,False,True
Sihuas Ancash Quechua,qws,,qws,False,True
Chiquián Ancash Quechua,qxa,,qxa,False,True
Puno Quechua,qxp,,qxp,False,True
Santa Ana de Tusi Pasco Quechua,qxt,,qxt,False,True
Arequipa-La Unión Quechua,qxu,,qxu,False,True
Jauja Wanca Quechua,qxw,,qxw,False,True
Réunion Creole French,rcf,,rcf,True,False
Rombo,rof,,rof,False,True
Romansh,roh,rm,rm,False,True
Romanian,ron,ro,ro,False,True
Ruuli,ruc,,ruc,False,True
Aromanian,rup,,rup,False,True
Russian,rus,ru,ru,True,True
Amba (Uganda),rwm,,rwm,False,True
Yakut,sah,,sah,False,True
Sanskrit,san,sa,sa,True,False
Santali,sat,,sat,False,True
Sindhi Bhil,sbn,,sbn,False,True
Shina,scl,,scl,False,True
Scots,sco,,sco,False,True
Seri,sei,,sei,False,True
Saraiki,skr,,skr,False,True
Slovak,slk,sk,sk,False,True
Slovenian,slv,sl,sl,False,True
Shona,sna,sn,sn,True,False
Sindhi,snd,sd,sd,False,True
Southern Sotho,sot,st,st,True,True
Spanish,spa,es,es,True,True
Albanian,sqi,sq,sq,False,True
Sardinian,srd,sc,sc,False,True
Serbian,srp,sr,sr,False,True
Sansi,ssi,,ssi,False,True
Swati,ssw,ss,ss,False,True
Svan,sva,,sva,False,True
Swahili,swa,sw,sw,True,True
Swedish,swe,sv,sv,False,True
Swahili (individual language),swh,,swh,True,False
Sakizaya,szy,,szy,False,True
Tamil,tam,ta,ta,True,True
Central Tarahumara,tar,,tar,False,True
Tatar,tat,tt,tt,True,True
Atayal,tay,,tay,False,True
Telugu,tel,te,te,True,True
Tajik,tgk,tg,tg,False,True
Thai,tha,th,th,True,True
Tigre,tig,,tig,False,True
Tigrinya,tir,ti,ti,False,True
Tlingit,tli,,tli,False,True
Toba,tob,,tob,False,True
Toki Pona,tok,,tok,False,True
Papantla Totonac,top,,top,False,True
Taroko,trv,,trv,False,True
Torwali,trw,,trw,False,True
Tswana,tsn,tn,tn,False,True
Tsonga,tso,ts,ts,False,True
Tooro,ttj,,ttj,False,True
Tupuri,tui,,tui,False,True
Turkmen,tuk,tk,tk,True,True
Turkish,tur,tr,tr,True,True
Tunen,tvu,,tvu,False,True
Twi,twi,tw,tw,False,True
Wuzlam,udl,,udl,False,True
Uyghur,uig,ug,ug,False,True
Ukrainian,ukr,uk,uk,True,True
Kuku,ukv,,ukv,False,True
Urdu,urd,ur,ur,True,True
Ushojo,ush,,ush,False,True
Uzbek,uzb,uz,uz,True,True
Southern Uzbek,uzs,,uzs,True,False
Huarijio,var,,var,False,True
Venetian,vec,,vec,True,False
Venda,ven,ve,ve,False,True
Vietnamese,vie,vi,vi,True,True
Votic,vot,,vot,False,True
Wakhi,wbl,,wbl,False,True
Cameroon Pidgin,wes,,wes,False,True
Wu Chinese,wuu,,wuu,True,False
Khetrani,xhe,,xhe,False,True
Xhosa,xho,xh,xh,True,True
Kalkoti,xka,,xka,False,True
Mingrelian,xmf,,xmf,False,True
Yaqui,yaq,,yaq,False,True
Yangben,yav,,yav,False,True
Yidgha,ydg,,ydg,False,True
Yiddish,yid,yi,yi,False,True
Yoruba,yor,yo,yo,True,True
Cantonese,yue,,yue,True,True
Standard Moroccan Tamazight,zgh,,zgh,False,True
Chinese,zho,zh,zh,True,True
Copainalá Zoque,zoc,,zoc,False,True
Standard Malay,zsm,,zsm,True,False
Zulu,zul,zu,zu,True,True
Zaza,zza,,zza,False,True
